Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa,drug,cnet,dose
87,40.6437,-88.0165,265.704,495.9,389.77,334.97,160.93,911.55,460.02,136.303,209.97,73.6558,415.65,0.0288283,0,0,87,1.03358,1.02562,1.01353,0.980811,1.00992,1.01701,0.952245,0.980214,0.995587,bepridil,31.5,15
88,40.7173,-88.0371,267.347,487.49,384.22,331.17,156.32,927.54,471.91,124.181,196.505,72.3135,440.05,0.0315173,0,0,88,0.954761,1.00264,0.971614,1,1.0359,1.03567,0.970154,1.02513,0.956195,bepridil,31.5,15
89,40.4729,-88.0114,265.255,483.62,381.72,329.55,154.07,915.33,462.19,129.594,202.33,72.7245,431.71,0.0313692,0,0,89,1.02437,1.01385,1.02064,1.03552,1.03898,1.03312,0.986286,0.967292,0.97784,bepridil,31.5,15
90,40.9604,-88.034,267.003,497.32,391.69,337.71,159.61,927.84,473.75,126.515,198.264,71.7386,430.52,0.0285291,0,0,90,0.969875,1.00382,1.01033,1.01667,0.975606,0.999402,1.0385,1.02873,1.03756,bepridil,31.5,15
91,40.5628,-88.0158,265.726,500.84,393.11,337.48,163.36,928.12,473.65,127.509,200.151,72.6313,427.28,0.0298706,0,0,91,0.95677,0.994851,0.978548,0.965124,0.973595,0.989926,0.97695,0.968664,0.960718,bepridil,31.5,15
92,40.8491,-88.034,267.072,492.72,386.08,332.62,160.1,910.67,459.29,135.045,208.23,73.1741,417.95,0.0307108,0,0,92,0.95929,0.974137,1.00932,1.00305,1.00686,0.980154,0.974922,1.02451,1.03303,bepridil,31.5,15
93,41.0076,-88.0271,266.452,501.79,393.57,337.65,164.14,916.29,464.38,135.687,209.206,73.5073,414.5,0.0276361,0,0,93,0.955475,1.0222,0.967679,0.959056,0.991522,1.01432,0.954784,1.00695,1.01242,bepridil,31.5,15
94,40.7624,-88.005,264.869,493.98,388.29,334.47,159.51,908.55,457.7,137.09,210.513,73.4107,414.57,0.0280281,0,0,94,0.978937,1.04037,1.00592,1.03141,0.988633,0.994997,0.983836,0.956621,1.02141,bepridil,31.5,15
95,40.9623,-88.0408,267.617,496.41,386.71,332.13,164.28,909.07,457.93,137.09,210.65,73.5487,412.66,0.0311799,0,0,95,0.985638,0.954885,0.987747,0.950985,1.04183,0.96602,0.953291,1.03889,1.03459,bepridil,31.5,15
96,40.7374,-88.0399,267.532,489.84,384.95,332.19,157.65,923.74,469.27,126.417,198.745,72.317,433.9,0.0321079,0,0,96,0.987072,0.965936,0.994602,1.02366,0.985096,0.982941,0.984617,1.0322,0.987156,bepridil,31.5,15
97,40.7865,-88.0429,267.636,490.53,384.98,332.59,157.94,927.8,472.5,123.654,195.151,71.4874,437.27,0.0318118,0,0,97,0.952317,0.961787,1.01144,1.03322,1.00344,0.95827,1.03395,1.04431,1.01912,bepridil,31.5,15
98,40.6721,-88.0178,265.706,501.07,395.1,340.3,160.77,937.54,481.3,122.121,193.543,71.4119,436.47,0.0273356,0,0,98,0.957419,1.04676,1.01806,1.01847,0.958732,0.988496,1.04268,0.982334,0.984259,bepridil,31.5,15
99,40.9754,-88.0406,267.524,492.86,390,336.79,156.07,925.9,471.86,127.22,199.483,72.2524,433.04,0.0277384,0,0,99,1.00494,1.04558,0.99993,1.04694,0.963162,1.03645,0.997134,1.04643,1.00959,bepridil,31.5,15
100,40.9368,-88.0157,265.714,498.72,390.87,335.74,162.98,906.4,455.9,140.42,214.296,73.8642,407.68,0.0289639,0,0,100,0.998784,0.988427,0.969224,0.975591,0.980067,1.00362,0.960761,0.97962,1.03562,bepridil,31.5,15
1,41.4906,-88.0194,265.537,389.08,313.03,280.29,108.79,822.87,384.09,161.578,236.946,75.3578,433.79,0.0395026,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595,bepridil,31.5,4
2,41.2757,-88.0083,264.694,387.85,313.41,280.98,106.87,837.07,394.83,150.732,224.514,73.7722,449.22,0.041357,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285,bepridil,31.5,4
3,40.8925,-87.9968,263.989,389.1,314.28,281.46,107.64,830.63,389.83,155.784,230.581,74.7867,441.53,0.0415924,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203,bepridil,31.5,4
4,41.25,-87.9988,264.056,382.6,309.63,277.92,104.68,831.59,390.25,153.166,227.238,74.0613,448.99,0.0425902,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719,bepridil,31.5,4
